Neighborhood;Borough;PopDisability;Hearing;Vision;Cognitive;Ambulatory;SelfCare;IndLiving;Under18Disability
Rikers Island;Queens;0;0;0;0;0;0;0;0
Brooklyn Navy Yard;Brooklyn;0;0;0;0;0;0;0;0
Fort Hamilton;Brooklyn;29;0;0;12;17;7;17;12
Hutchinson Metro Center;Bronx;80;0;6;76;25;25;65;0
United Nations;Manhattan;0;0;0;0;0;0;0;0
Sunnyside Yards (North);Queens;0;0;0;0;0;0;0;0
Sunnyside Yards (South);Queens;0;0;0;0;0;0;0;0
Fort Totten;Queens;0;0;0;0;0;0;0;0
Fort Wadsworth;Staten Island;0;0;0;0;0;0;0;0
The Evergreens Cemetery;Brooklyn;0;0;0;0;0;0;0;0
Highland Park-Cypress Hills Cemeteries (South);Brooklyn;0;0;0;0;0;0;0;0
Green-Wood Cemetery;Brooklyn;0;0;0;0;0;0;0;0
Holy Cross Cemetery;Brooklyn;0;0;0;0;0;0;0;0
Hart Island;Bronx;0;0;0;0;0;0;0;0
Woodlawn Cemetery;Bronx;0;0;0;0;0;0;0;0
St. Michael's Cemetery;Queens;0;0;0;0;0;0;0;0
Calvary & Mount Zion Cemeteries;Queens;0;0;0;0;0;0;0;0
Mount Olivet & All Faiths Cemeteries;Queens;0;0;0;0;0;0;0;0
Middle Village Cemetery;Queens;0;0;0;0;0;0;0;0
St. John Cemetery;Queens;0;0;0;0;0;0;0;0
Highland Park-Cypress Hills Cemeteries (North);Queens;0;0;0;0;0;0;0;0
Mount Hebron & Cedar Grove Cemeteries;Queens;0;0;0;0;0;0;0;0
Montefiore Cemetery;Queens;0;0;0;0;0;0;0;0
LaGuardia Airport;Queens;0;0;0;0;0;0;0;0
John F. Kennedy International Airport;Queens;0;0;0;0;0;0;0;0
Lincoln Terrace Park;Brooklyn;0;0;0;0;0;0;0;0
Dyker Beach Park;Brooklyn;0;0;0;0;0;0;0;0
Calvert Vaux Park;Brooklyn;0;0;0;0;0;0;0;0
Marine Park-Plumb Island;Brooklyn;0;0;0;0;0;0;0;0
McGuire Fields;Brooklyn;0;0;0;0;0;0;0;0
Canarsie Park & Pier;Brooklyn;0;0;0;0;0;0;0;0
Prospect Park;Brooklyn;0;0;0;0;0;0;0;0
Barren Island-Floyd Bennett Field;Brooklyn;0;0;0;0;0;0;0;0
Jamaica Bay (West);Brooklyn;0;0;0;0;0;0;0;0
Shirley Chisholm State Park;Brooklyn;0;0;0;0;0;0;0;0
North & South Brother Islands;Bronx;0;0;0;0;0;0;0;0
Crotona Park;Bronx;0;0;0;0;0;0;0;0
Yankee Stadium-Macombs Dam Park;Bronx;0;0;0;0;0;0;0;0
Claremont Park;Bronx;0;0;0;0;0;0;0;0
Soundview Park;Bronx;0;0;0;0;0;0;0;0
Ferry Point Park-St. Raymond Cemetery;Bronx;0;0;0;0;0;0;0;0
Van Cortlandt Park;Bronx;0;0;0;0;0;0;0;0
Bronx Park;Bronx;5;0;0;0;5;0;0;0
Pelham Bay Park;Bronx;0;0;0;0;0;0;0;0
The Battery-Governors Island-Ellis Island-Liberty Island;Manhattan;0;0;0;0;0;0;0;0
Randall's Island;Manhattan;439;12;39;284;179;39;88;0
Highbridge Park;Manhattan;0;0;0;0;0;0;0;0
